model,n,r2,policy_coef,policy_p
Model 0,1650,0.0,,
Model 1,1650,0.010101947249664511,13.442660642180707,4.830683108265082e-07
Model 2,1650,0.042655429191160055,13.550688915891328,1.2818380003482578e-07
Model 3,1650,0.05045025796073088,13.224137672343812,3.338363145195447e-07
